País de residencia;Tipo de dato;Periodo;Total
Bélgica;Dato base;2018M03;156.116
Bélgica;Dato base;2018M02;123.761
Bélgica;Dato base;2018M01;131.383
Francia;Dato base;2022M12;662.604
Francia;Dato base;2022M11;589.080
Francia;Dato base;2022M10;915.762
Francia;Dato base;2022M09;915.947
Francia;Dato base;2022M08;1.647.034
Francia;Dato base;2022M07;1.421.122
Francia;Dato base;2022M06;869.316
Francia;Dato base;2022M05;929.452
Francia;Dato base;2022M04;826.837
Francia;Dato base;2022M03;457.400
Francia;Dato base;2022M02;514.035
Francia;Dato base;2022M01;347.451
Francia;Dato base;2021M12;530.562
Francia;Dato base;2021M11;498.667
Francia;Dato base;2021M10;752.882
Francia;Dato base;2021M09;689.153
Francia;Dato base;2021M08;1.292.411
Francia;Dato base;2021M07;875.875
Francia;Dato base;2021M06;438.734
Francia;Dato base;2021M05;330.343
Francia;Dato base;2021M04;115.683
Francia;Dato base;2021M03;105.698
Francia;Dato base;2021M02;74.937
Francia;Dato base;2021M01;117.726
Francia;Dato base;2020M12;163.841
Francia;Dato base;2020M11;61.360
Francia;Dato base;2020M10;381.401
Francia;Dato base;2020M09;390.674
Francia;Dato base;2020M08;865.789
Francia;Dato base;2020M07;596.334
Francia;Dato base;2020M06;67.859
Francia;Dato base;2020M05;0
Francia;Dato base;2020M04;0
Francia;Dato base;2020M03;286.821
Francia;Dato base;2020M02;592.609
Francia;Dato base;2020M01;481.062
Francia;Dato base;2019M12;552.553
Francia;Dato base;2019M11;574.259
Francia;Dato base;2019M10;893.084
Francia;Dato base;2019M09;984.031
Francia;Dato base;2019M08;2.019.857
Francia;Dato base;2019M07;1.436.108
Francia;Dato base;2019M06;958.217
Francia;Dato base;2019M05;1.020.302
Francia;Dato base;2019M04;1.019.617
Francia;Dato base;2019M03;676.480
Francia;Dato base;2019M02;566.827
Francia;Dato base;2019M01;446.062
Francia;Dato base;2018M12;553.866
Francia;Dato base;2018M11;477.488
Francia;Dato base;2018M10;910.512
Francia;Dato base;2018M09;1.043.434
Francia;Dato base;2018M08;2.114.381
Francia;Dato base;2018M07;1.388.735
Francia;Dato base;2018M06;895.721
Francia;Dato base;2018M05;1.146.661
Francia;Dato base;2018M04;1.080.895
Francia;Dato base;2018M03;647.445
Francia;Dato base;2018M02;545.120
Francia;Dato base;2018M01;489.063
Irlanda;Dato base;2022M12;105.208
Irlanda;Dato base;2022M11;124.203
Irlanda;Dato base;2022M10;217.518
Irlanda;Dato base;2022M09;233.272
Irlanda;Dato base;2022M08;230.202
Irlanda;Dato base;2022M07;279.865
Irlanda;Dato base;2022M06;241.699
Irlanda;Dato base;2022M05;209.181
Irlanda;Dato base;2022M04;188.898
Irlanda;Dato base;2022M03;109.307
Irlanda;Dato base;2022M02;79.901
Irlanda;Dato base;2022M01;70.208
Irlanda;Dato base;2021M12;61.658
Irlanda;Dato base;2021M11;78.871
Irlanda;Dato base;2021M10;141.892
Irlanda;Dato base;2021M09;130.196
Irlanda;Dato base;2021M08;111.001
Irlanda;Dato base;2021M07;62.202
Irlanda;Dato base;2021M06;15.764
Irlanda;Dato base;2021M05;8.064
Irlanda;Dato base;2021M04;5.459
Irlanda;Dato base;2021M03;4.061
Irlanda;Dato base;2021M02;3.810
Irlanda;Dato base;2021M01;8.336
Irlanda;Dato base;2020M12;12.596
Irlanda;Dato base;2020M11;8.448
Irlanda;Dato base;2020M10;15.056
Irlanda;Dato base;2020M09;15.930
